IP,computer_name,Image
95.140.236.0,MW-KZH-SJ-22,C:\Windows\System32\svchost.exe
106.51.156.152,MW-KZH-SJ-22,C:\Windows\System32\svchost.exe
172.16.0.33,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
18.172.185.11,MW-AUS-WL-06,<unknown process>
13.89.179.9,MW-CAL-WIN10.MW-caldera.local,C:\Windows\System32\svchost.exe
15.222.106.248,MW-FLR-LT2-DP,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
172.176.48.21,MW-FLR-LT2-DP,C:\Windows\System32\svchost.exe
15.223.84.164,MW-FLR-LT2-DP,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
15.223.84.164,MW-FLR-LT2-DP,System
18.172.185.99,MW-FLR-LT-AL,<unknown process>
3.97.206.33,MW-CLA-JS-01,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
3.91.140.69,MW-CLA-JS-01,C:\Program Files\WindowsApps\91750D7E.Slack_4.37.101.0_x64__8she8kybcnzg4\app\Slack.exe
172.16.0.13,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
3.97.206.33,MW-BST-LT-VR,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
